周波数 (Hz)	レベル (dB)
8225.683594	-70.367157
8268.750000	-70.873505
8311.816406	-72.327034
8354.882813	-72.744072
8397.949219	-71.388275
8441.015625	-69.933495
8484.082031	-69.117905
8527.148438	-68.371071
8570.214844	-68.866356
8613.281250	-69.026306
8656.347656	-67.498161
8699.414063	-67.788864
8742.480469	-66.334145
8785.546875	-66.919868
8828.613281	-66.946228
8871.679688	-66.592293
8914.746094	-65.654846
8957.812500	-63.883789
9000.878906	-64.381378
9043.945313	-62.718922
9087.011719	-61.049641
9130.078125	-62.274475
9173.144531	-64.200577
9216.210938	-64.852989
9259.277344	-66.103691
9302.343750	-67.431709
9345.410156	-69.108032
9388.476563	-69.988258
9431.542969	-69.328743
9474.609375	-68.300514
9517.675781	-67.656387
9560.742188	-66.613739
9603.808594	-65.999184
9646.875000	-65.510643
9689.941406	-67.000114
9733.007813	-66.016731
9776.074219	-66.812599
9819.140625	-66.584290
9862.207031	-67.103798
9905.273438	-67.632813
9948.339844	-66.994446
9991.406250	-66.780045
10034.472656	-67.561546
10077.539063	-66.602371
10120.605469	-64.236961
10163.671875	-62.374466
10206.738281	-62.594608
10249.804688	-63.447533
10292.871094	-64.024101
10335.937500	-63.234695
10379.003906	-63.673107
10422.070313	-62.379982
10465.136719	-62.777828
10508.203125	-63.234756
10551.269531	-63.967525
10594.335938	-65.035072
10637.402344	-65.726265
10680.468750	-65.784081
10723.535156	-67.780563
10766.601563	-66.822258
10809.667969	-66.625397
10852.734375	-67.000809
10895.800781	-66.869087
10938.867188	-66.653297
10981.933594	-66.193771
11025.000000	-65.817467
11068.066406	-67.365120
11111.132813	-68.681641
11154.199219	-67.362495
11197.265625	-67.170395
11240.332031	-68.058517
11283.398438	-69.064865
11326.464844	-69.562691
11369.531250	-70.309334
11412.597656	-71.130196
11455.664063	-70.956459
11498.730469	-71.926628
11541.796875	-72.546860
11584.863281	-72.002144
11627.929688	-72.653648
11670.996094	-72.824776
11714.062500	-72.620148
11757.128906	-74.201080
11800.195313	-72.195618
11843.261719	-70.122887
11886.328125	-69.444206
11929.394531	-70.774811
11972.460938	-69.699837
12015.527344	-70.712410
12058.593750	-73.100967
12101.660156	-73.409531
12144.726563	-75.366402
12187.792969	-76.725708
12230.859375	-76.652504
12273.925781	-76.045586
12316.992188	-75.752991
12360.058594	-75.777840
12403.125000	-75.148880
12446.191406	-74.106758
12489.257813	-74.583572
12532.324219	-76.802101
12575.390625	-77.307320
12618.457031	-77.284088
12661.523438	-77.391251
12704.589844	-77.217720
12747.656250	-79.144394
12790.722656	-78.275612
12833.789063	-75.600891
12876.855469	-75.529266
12919.921875	-76.908623
12962.988281	-77.654274
13006.054688	-77.684128
13049.121094	-78.267342
13092.187500	-79.172569
13135.253906	-80.055214
13178.320313	-80.864769
13221.386719	-80.099541
13264.453125	-80.455971
13307.519531	-80.410042
13350.585938	-80.819160
13393.652344	-80.449593
13436.718750	-78.810860
13479.785156	-79.493118
13522.851563	-80.930954
13565.917969	-82.961250
13608.984375	-82.625160
13652.050781	-80.589790
13695.117188	-81.643974
13738.183594	-82.872925
13781.250000	-83.880661
13824.316406	-84.075287
13867.382813	-84.460258
13910.449219	-85.302933
13953.515625	-85.296501
13996.582031	-85.154137
14039.648438	-85.327560
14082.714844	-84.767029
14125.781250	-84.258492
14168.847656	-84.432533
14211.914063	-83.890007
14254.980469	-84.451424
14298.046875	-84.903801
14341.113281	-83.932617
14384.179688	-84.492020
14427.246094	-86.087799
14470.312500	-86.147377
14513.378906	-86.141205
14556.445313	-86.766602
14599.511719	-87.239021
14642.578125	-86.930405
14685.644531	-86.530815
14728.710938	-85.801048
14771.777344	-85.648712
14814.843750	-85.531998
14857.910156	-86.810333
14900.976563	-87.755608
14944.042969	-88.485916
14987.109375	-88.450012
15030.175781	-87.487114
15073.242188	-87.004425
15116.308594	-86.657280
15159.375000	-87.120895
15202.441406	-88.781647
15245.507813	-90.099983
15288.574219	-89.186241
15331.640625	-88.456680
15374.707031	-88.967026
15417.773438	-88.412582
15460.839844	-89.052872
15503.906250	-89.293350
15546.972656	-89.554230
15590.039063	-89.980522
15633.105469	-90.280235
15676.171875	-89.998459
15719.238281	-90.498665
15762.304688	-90.849281
15805.371094	-91.247871
15848.437500	-91.412582
15891.503906	-91.579666
15934.570313	-91.421410
15977.636719	-91.171654
16020.703125	-91.632874
16063.769531	-91.915329
16106.835938	-91.978325
16149.902344	-91.681084
16192.968750	-91.810753
16236.035156	-91.321556
16279.101563	-91.618683
16322.167969	-92.930321
16365.234375	-92.765442
16408.300781	-93.632584
