周波数 (Hz)	レベル (dB)
16968.164063	-92.722511
17011.230469	-92.602699
17054.296875	-92.568054
17097.363281	-92.281502
17140.429688	-92.444695
17183.496094	-92.671387
17226.562500	-92.690445
17269.628906	-92.675545
17312.695313	-92.557770
17355.761719	-92.323311
17398.828125	-92.309059
17441.894531	-92.561623
17484.960938	-92.511711
17528.027344	-92.589432
17571.093750	-92.455490
17614.160156	-92.721146
17657.226563	-92.576729
17700.292969	-92.433090
17743.359375	-92.584290
17786.425781	-92.331856
17829.492188	-92.496544
17872.558594	-92.675003
17915.625000	-92.636497
17958.691406	-92.632263
18001.757813	-92.395988
18044.824219	-92.445564
18087.890625	-92.417175
18130.957031	-92.240967
18174.023438	-92.243858
18217.089844	-92.419777
18260.156250	-92.575684
18303.222656	-92.548058
18346.289063	-92.529190
18389.355469	-92.153259
18432.421875	-92.317116
18475.488281	-92.658302
18518.554688	-92.433861
18561.621094	-92.386078
18604.687500	-92.437294
18647.753906	-90.620056
18690.820313	-89.822601
18733.886719	-92.309921
18776.953125	-92.365540
18820.019531	-92.397034
18863.085938	-92.319778
18906.152344	-92.234222
18949.218750	-91.891037
18992.285156	-92.340660
19035.351563	-92.222763
19078.417969	-92.445717
19121.484375	-92.621193
19164.550781	-92.528137
19207.617188	-92.479332
19250.683594	-92.054535
19293.750000	-92.219643
19336.816406	-92.404808
19379.882813	-92.516304
19422.949219	-92.328117
19466.015625	-92.154030
19509.082031	-92.013412
19552.148438	-92.302025
19595.214844	-92.242470
19638.281250	-92.250526
19681.347656	-92.229469
19724.414063	-92.113670
19767.480469	-92.021172
19810.546875	-92.116776
19853.613281	-92.387360
19896.679688	-91.975754
19939.746094	-91.987633
19982.812500	-92.049751
20025.878906	-91.977173
20068.945313	-92.143700
20112.011719	-91.910599
20155.078125	-91.666832
20198.144531	-91.712845
20241.210938	-91.787132
20284.277344	-91.656219
20327.343750	-91.078186
20370.410156	-91.211128
20413.476563	-91.077805
20456.542969	-90.635864
20499.609375	-90.365730
20542.675781	-89.879601
20585.742188	-89.896179
20628.808594	-89.891220
20671.875000	-89.629669
20714.941406	-88.667267
20758.007813	-88.178764
20801.074219	-86.268082
20844.140625	-84.135147
20887.207031	-83.364113
20930.273438	-81.048836
20973.339844	-80.376930
21016.406250	-79.349319
21059.472656	-78.318573
21102.539063	-78.517815
21145.605469	-77.462173
21188.671875	-77.872299
21231.738281	-77.736961
21274.804688	-77.779907
21317.871094	-78.718239
21360.937500	-78.517464
21404.003906	-79.813889
21447.070313	-80.022903
21490.136719	-80.393936
21533.203125	-80.675262
21576.269531	-79.637032
21619.335938	-79.179810
21662.402344	-78.146439
21705.468750	-77.255516
21748.535156	-76.766342
21791.601563	-75.973030
21834.667969	-76.062454
21877.734375	-75.654533
21920.800781	-75.739357
21963.867188	-75.783600
22006.933594	-75.479935
